,session,subject,parent_det_str,child_det_str,parent_indef_def_adj_nps
30343,1,58,the doggy,,the doggy
30371,1,58,a bit,,a bit
30393,1,58,the pots,,the pots
30397,1,58,a pot,,a pot
30403,1,58,a pot,,a pot
30404,1,58,a pot,,a pot
30414,1,58,a spoon,,a spoon
30426,1,58,a noise,,a noise
30447,1,58,a one,,a one
30464,1,58,a camera,,a camera
30476,1,58,the stairs,,the stairs
30483,1,58,the stairs,,the stairs
30485,1,58,the stairs,,the stairs
30493,1,58,the stairs,,the stairs
30496,1,58,the stairs,,the stairs
30506,1,58,the box,,the box
30508,1,58,the box,,the box
30634,1,58,a boy,,a boy
30635,1,58,a boy,,a boy
30676,1,58,a drink,,a drink
30678,1,58,a drink,,a drink
30686,1,58,a guy,,a guy
30688,1,58,a lump,,a lump
30689,1,58,a guy,,a guy
30729,1,58,a day,,a day
30735,1,58,the table,,the table
30736,1,58,the table,,the table
30737,1,58,the table,,the table
30798,1,58,the window,,the window
30815,1,58,the window,,the window
30829,1,58,the window,,the window
30856,1,58,a day,,a day
30857,1,58,a day,,a day
30897,1,58,a cold,,a cold
30905,1,58,the magnet,,the magnet
30907,1,58,the fridge,,the fridge
30979,1,58,the box,,the box
30992,1,58,the sniffles,,the sniffles
30993,1,58,the sniffles,,the sniffles
31009,1,58,the way,,the way
31030,1,58,a tickle,,a tickle
31031,1,58,a tickle,,a tickle
31032,1,58,a tickle,,a tickle
31041,1,58,the thing,,the thing
31070,1,58,the cassette,,the cassette
31082,1,58,the telly,,the telly
31084,1,58,the telly,,the telly
31090,1,58,the time,,the time
31141,1,58,the telly,,the telly
31152,1,58,the music,,the music
31153,1,58,the music,,the music
31163,1,58,a boy,,a boy
31166,1,58,the hoops,,the hoops
31205,1,58,the music,,the music
31209,1,58,the music,,the music
31217,1,58,a bye,,a bye
31243,1,58,the telephone,,the telephone
31250,1,58,the telephone,,the telephone
31251,1,58,the telephone,,the telephone
31256,1,58,the couch,,the couch
31277,1,58,the bag,,the bag
31280,1,58,the pillow,,the pillow
31284,1,58,the music,,the music
31285,1,58,the music,,the music
31287,1,58,the music,,the music
31337,1,58,the ball,,the ball
31338,1,58,the ball,,the ball
31358,1,58,a one,,a one
31360,1,58,the ball,,the ball
31552,1,59,the DVD,,the DVD
31565,1,59,a hug,,a hug
31568,1,59,a kiss,,a kiss
31610,1,59,a minute,,a minute
31698,1,59,the box,,the box
31706,1,59,the toys,,the toys
31707,1,59,the toys,,the toys
31708,1,59,the toys,,the toys
31725,1,59,a book,,a book
31771,1,59,the box,,the box
31774,1,59,the book,,the book
31821,1,59,the remote,,the remote
31852,1,59,a song,,a song
31902,1,59,a minute,,a minute
31925,1,59,a kiss,,a kiss
31936,1,59,the couch,,the couch
32001,1,59,a minute,,a minute
32023,1,59,a nap,,a nap
32026,1,59,a accident,,a accident
32083,1,59,the rest,,the rest
32110,1,59,the bed,,the bed
32111,1,59,a minute,,a minute
32121,1,59,a minute,,a minute
32139,1,59,a day,,a day
32144,1,59,a game,,a game
32171,1,59,the Pooh,,the Pooh
32251,1,61,the kitchen,,the kitchen
32311,1,61,a pamper,,a pamper
32380,1,61,a shot,,a shot
32381,1,61,a booboo,,a booboo
32385,1,61,the one,,the one
32409,1,61,the bed,,the bed
32412,1,61,the bed,,the bed
32435,1,61,the shoes,,the shoes
32475,1,61,the drawers,,the drawers
32497,1,61,the kitchen,,the kitchen
32519,1,61,the door,,the door
32546,1,61,the floor,,the floor
32583,1,61,the door,,the door
32601,1,61,the way,,the way
32614,1,61,a cartwheel,,a cartwheel
32649,1,61,the baby,,the baby
32713,1,61,the Pooh,,the Pooh
32732,1,62,the light,,the light
32733,1,62,the bathroom,,the bathroom
32748,1,62,the computer,,the computer
32749,1,62,a program,,a program
32750,1,62,the toys,,the toys
32756,1,62,the laundry,,the laundry
32760,1,62,the ball,,the ball
32764,1,62,the treadmill,,the treadmill
32771,1,62,a ball,,a ball
32789,1,62,the doll,,the doll
32794,1,62,the computer,,the computer
32812,1,62,a baby,,a baby
32851,1,62,the mall,,the mall
32853,1,62,the mall,,the mall
32859,1,62,the alien,,the alien
32860,1,62,the alien,,the alien
32865,1,62,the alien,,the alien
32866,1,62,a toothbrush,,a toothbrush
32872,1,62,a sticker,,a sticker
32873,1,62,the sticker,,the sticker
32886,1,62,the car,,the car
32887,1,62,the one,,the one
32901,1,62,a tree,,a tree
32904,1,62,the darks,,the darks
32908,1,62,the one,,the one
32922,1,62,the cars,,the cars
32948,1,62,a band,,a band
32954,1,62,the question,,the question
32956,1,62,the lettuce,,the lettuce
32957,1,62,the lettuce,,the lettuce
32958,1,62,the bananas,,the bananas
32978,1,62,the blue,,the blue
32985,1,62,the top,,the top
32995,1,62,the school,,the school
33008,1,62,a box,,a box
33010,1,62,the one,,the one
33022,1,62,a band,,a band
33024,1,62,a piano,,a piano
33025,1,62,the monkey,,the monkey
33026,1,62,the monkey,,the monkey
33027,1,62,the piano,,the piano
33029,1,62,the drums,,the drums
33030,1,62,the piano,,the piano
33031,1,62,the xylophone,,the xylophone
33040,1,62,the batteries,,the batteries
33045,1,62,the drummer,,the drummer
33053,1,62,the song,,the song
33054,1,62,the words,,the words
33058,1,62,the music,,the music
33063,1,62,the piano,,the piano
33065,1,62,a quarter,,a quarter
33066,1,62,the piano,,the piano
33075,1,62,a song,,a song
33093,1,62,a lesson,,a lesson
33099,1,62,a song,,a song
33100,1,62,a sticker,,a sticker
33103,1,62,the toys,,the toys
33114,1,62,the batteries,,the batteries
33122,1,62,a movie,,a movie
33123,1,62,a movie,,a movie
33125,1,62,the beetle,,the beetle
33131,1,62,a quarter,,a quarter
33134,1,62,the computer,,the computer
33152,1,62,the beetle,,the beetle
33154,1,62,the matter,,the matter
33155,1,62,a pocket,,a pocket
33158,1,62,the ball,,the ball
33171,1,62,the phone,,the phone
33172,1,62,the phone,,the phone
33173,1,62,the phone,,the phone
33175,1,62,a bit,,a bit
33176,1,62,the door,,the door
33177,1,62,the computer,,the computer
33182,1,62,the gate,,the gate
33190,1,62,a hole,,a hole
33202,1,62,a hole,,a hole
33209,1,62,a hole,,a hole
33214,1,62,a fish,,a fish
33222,1,62,the foot,,the foot
33232,1,62,the foot,,the foot
33242,1,62,a banana,,a banana
33244,1,62,the foot,,the foot
33257,1,62,the shoes,,the shoes
33266,1,62,a snack,,a snack
33271,1,62,the door,,the door
33272,1,62,the door,,the door
33273,1,62,the door,,the door
33283,1,62,the foot,,the foot
33284,1,62,the apple,,the apple
33291,1,62,the box,,the box
33301,1,62,the scissors,,the scissors
33306,1,62,a time,,a time
33311,1,62,the box,,the box
33315,1,62,the scissors,,the scissors
33333,1,62,a litterbug,,a litterbug
33336,1,62,the garbage,,the garbage
33337,1,62,the garbage,,the garbage
33341,1,62,the floor,,the floor
33350,1,62,the box,,the box
33377,1,62,the kitchen,,the kitchen
33388,1,62,the kitchen,,the kitchen
33390,1,62,the kitchen,,the kitchen
33391,1,62,the living,,the living
33414,1,62,the skin,,the skin
33436,1,62,the crab,,the crab
33438,1,62,a crab,,a crab
33439,1,62,the bottom,,the bottom
33440,1,62,the bottom,,the bottom
33459,1,62,the crabs,,the crabs
33462,1,62,the matter,,the matter
33463,1,62,the matter,,the matter
33471,1,62,a one,,a one
33476,1,62,a catfish,,a catfish
33499,1,62,a car,,a car
33505,1,62,a toy,,a toy
33509,1,62,a bite,,a bite
33513,1,62,a bite,,a bite
33514,1,62,a bite,,a bite
33527,1,62,a car,,a car
33532,1,62,a car,,a car
33535,1,62,a truck,,a truck
33536,1,62,a truck,,a truck
33546,1,62,the #,,the #
33556,1,62,the leader,,the leader
33563,1,62,the way,,the way
33564,1,62,the cars,,the cars
33575,1,62,a turn,,a turn
33580,1,62,the ground,,the ground
33586,1,62,the car,,the car
33641,1,62,a hug,,a hug
33642,1,62,a kiss,,a kiss
33644,1,62,a kiss,,a kiss
33648,1,62,a singer,,a singer
33653,1,62,a kiss,,a kiss
33654,1,62,a kiss,,a kiss
33655,1,62,a kiss,,a kiss
33657,1,62,a kiss,,a kiss
33672,1,62,the chair,,the chair
33675,1,62,a cookie,,a cookie
33680,1,62,a cookie,,a cookie
33683,1,62,a cookie,,a cookie
33684,1,62,a cookie,,a cookie
33689,1,62,the stove,,the stove
33699,1,62,the computer,,the computer
33706,1,62,the dog,,the dog
33707,1,62,a dog,,a dog
33708,1,62,a fudgecicle,,a fudgecicle
33718,1,62,the stove,,the stove
33721,1,62,the table,,the table
33722,1,62,a fudgecicle,,a fudgecicle
33727,1,62,the table,,the table
33776,1,62,a mess,,a mess
33779,1,62,a mess,,a mess
33787,1,62,a mustache,,a mustache
33788,1,62,a fudgecicle,,a fudgecicle
33796,1,62,a lick,,a lick
33806,1,62,the store,,the store
33810,1,62,a bowl,,a bowl
33811,1,62,a bowl,,a bowl
33813,1,62,a bowl,,a bowl
33820,1,62,a blast,,a blast
33832,1,62,a job,,a job
33834,1,62,the present,,the present
33835,1,62,the bear,,the bear
33839,1,62,a mess,,a mess
33843,1,62,the belly,,the belly
33845,1,62,the belly,,the belly
33857,1,62,a lick,,a lick
33881,1,62,the birds,,the birds
33882,1,62,the birds,,the birds
33887,1,62,the birds,,the birds
33902,1,62,the table,,the table
33904,1,62,the bushes,,the bushes
33909,1,62,the squirrel,,the squirrel
33910,1,62,a chipmunk,,a chipmunk
33915,1,62,the trailer,,the trailer
33926,1,62,the bottom,,the bottom
33928,1,62,the stick,,the stick
33929,1,62,the stick,,the stick
33932,1,62,the camera,,the camera
33934,1,62,the camera,,the camera
33956,1,62,a sharer,,a sharer
33958,1,62,a eater,,a eater
33969,1,62,the camera,,the camera
33970,1,62,a picture,,a picture
33978,1,62,the bowl,,the bowl
34000,1,62,the cereal,,the cereal
34016,1,62,the ice,,the ice
34026,1,62,the stick,,the stick
34029,1,62,the stick,,the stick
34046,1,62,a lot,,a lot
34050,1,62,the camera,,the camera
34060,1,62,a time,,a time
34065,1,62,the rag,,the rag
34090,1,62,the birds,,the birds
34114,1,62,the tree,,the tree
34121,1,62,the birds,,the birds
34163,1,62,the door,,the door
34170,1,62,the way,,the way
34202,1,62,the kids,,the kids
34217,1,62,the kids,,the kids
34236,1,62,a minutes,,a minutes
34238,1,62,the stereo,,the stereo
34254,1,62,a dancer,,a dancer
34258,1,62,the tent,,the tent
34263,1,62,the toybox,,the toybox
34268,1,62,the beetle,,the beetle
34270,1,62,the matter,,the matter
34277,1,62,the couch,,the couch
34291,1,62,a wagon,,a wagon
34324,1,62,a top,,a top
34342,1,62,the bowling,,the bowling
34344,1,62,the ball,,the ball
34597,1,64,a brat,,a brat
34670,1,64,a #,,a #
34725,1,64,a dee,,a dee
34816,1,64,the kitty,,the kitty
34852,1,64,a look,,a look
34881,1,64,the channel,,the channel
34886,1,64,the satellite,,the satellite
34927,1,64,a pig,,a pig
34941,1,64,the mama,,the mama
35018,1,64,a bit,,a bit
35035,1,64,a brat,,a brat
35054,1,64,a bigly,,a bigly
35071,1,64,a girl,,a girl
35119,1,64,the room,,the room
35129,1,64,the room,,the room
35131,1,64,the room,,the room
35132,1,64,the room,,the room
35142,1,64,a seat,,a seat
35158,1,64,the bear,,the bear
35161,1,64,a brat,,a brat
35180,1,64,a seat,,a seat
35181,1,64,a seat,,a seat
35182,1,64,a seat,,a seat
35216,1,64,the kitty,,the kitty
35284,1,64,a brat,,a brat
35306,1,65,the computer,,the computer
35312,1,65,the picture,,the picture
35324,1,65,the sheep,,the sheep
35351,1,65,a face,,a face
35397,1,65,the computer,,the computer
35410,1,65,the wrapper,,the wrapper
35411,1,65,the wrapper,,the wrapper
35418,1,65,a hug,,a hug
35422,1,65,a book,,a book
35423,1,65,a book,,a book
35425,1,65,a book,,a book
35426,1,65,a book,,a book
35430,1,65,a book,,a book
35432,1,65,a book,,a book
35433,1,65,a book,,a book
35445,1,65,the book,,the book
35448,1,65,the baby,,the baby
35489,1,65,a book,,a book
35493,1,65,a book,,a book
35494,1,65,a book,,a book
35501,1,65,the door,,the door
35512,1,65,the book,,the book
35517,1,65,the kitty,,the kitty
35518,1,65,the kitty,,the kitty
35524,1,65,the house,,the house
35525,1,65,the door,,the door
35528,1,65,the refrigerator,,the refrigerator
35542,1,65,the garage,,the garage
35544,1,65,the car,,the car
35545,1,65,the car,,the car
35548,1,65,a car,,a car
35553,1,65,the airplane,,the airplane
35559,1,65,the woman,,the woman
35561,1,65,a heart,,a heart
35563,1,65,the door,,the door
35594,1,65,a while,,a while
35601,1,65,a snack,,a snack
35602,1,65,a snack,,a snack
35606,1,65,the matter,,the matter
35609,1,65,the matter,,the matter
35613,1,65,a snack,,a snack
35614,1,65,a snack,,a snack
35616,1,65,a snack,,a snack
35617,1,65,a snack,,a snack
35628,1,65,the wrapper,,the wrapper
35641,1,65,a cracker,,a cracker
35663,1,65,a bit,,a bit
35706,1,65,a light,,a light
35737,1,65,a goofball,,a goofball
35776,1,65,a cracker,,a cracker
35790,1,65,the wrapper,,the wrapper
35809,1,65,the park,,the park
35814,1,65,the swings,,the swings
35848,1,65,the mail,,the mail
35849,1,65,the mail,,the mail
35857,1,65,the wrapper,,the wrapper
35858,1,65,a wrapper,,a wrapper
35863,1,65,a while,,a while
35869,1,65,a wrapper,,a wrapper
35881,1,65,the water,,the water
35882,1,65,the heat,,the heat
35903,1,65,the kitty,,the kitty
35904,1,65,the kitty,,the kitty
35905,1,65,the kitty,,the kitty
35916,1,65,the bottle,,the bottle
35933,1,65,the bottle,,the bottle
35934,1,65,the bottle,,the bottle
35935,1,65,the bottle,,the bottle
35988,1,65,the blinds,,the blinds
36003,1,65,the guy,,the guy
36004,1,65,the guy,,the guy
36006,1,65,the guy,,the guy
36019,1,65,the guy,,the guy
36020,1,65,the guy,,the guy
36027,1,65,a time,,a time
36034,1,65,the TV,,the TV
36035,1,65,the TV,,the TV
36041,1,65,a book,,a book
36042,1,65,a book,,a book
36046,1,65,a book,,a book
36047,1,65,a book,,a book
36052,1,65,the baby,,the baby
36073,1,65,the tub,,the tub
36077,1,65,the music,,the music
36101,1,65,a book,,a book
36107,1,65,the music,,the music
36112,1,65,a teapot,,a teapot
36120,1,65,a teapot,,a teapot
36128,1,65,the movements,,the movements
36140,1,65,the spider,,the spider
36142,1,65,the water,,the water
36148,1,65,a hammer,,a hammer
36159,1,65,a saw,,a saw
36161,1,65,a drill,,a drill
36166,1,65,a flashlight,,a flashlight
36167,1,65,a tape,,a tape
36169,1,65,a button,,a button
36192,1,65,a song,,a song
36193,1,65,a pliers,,a pliers
36195,1,65,a screwdriver,,a screwdriver
36196,1,65,the middle,,the middle
36198,1,65,the hammers,,the hammers
36205,1,65,a teapot,,a teapot
36212,1,65,a teapot,,a teapot
36222,1,65,a teddy,,a teddy
36223,1,65,a bunny,,a bunny
36224,1,65,a doll,,a doll
36234,1,65,the song,,the song
36237,1,65,a teapot,,a teapot
36261,1,65,a coffee,,a coffee
36267,1,65,a spider,,a spider
36274,1,65,the book,,the book
36275,1,65,the rain,,the rain
36276,1,65,the sun,,the sun
36277,1,65,the spider,,the spider
36278,1,65,the spider,,the spider
36299,1,65,the duck,,the duck
36300,1,65,a goose,,a goose
36303,1,65,the rain,,the rain
36304,1,65,the spider,,the spider
36312,1,65,a ball,,a ball
36315,1,65,the ball,,the ball
36321,1,65,the part,,the part
36325,1,65,the guy,,the guy
36341,1,65,the way,,the way
36378,1,65,the room,,the room
36386,1,65,a ball,,a ball
36389,1,65,the guys,,the guys
36395,1,65,the one,,the one
36396,1,65,the one,,the one
36398,1,65,the one,,the one
36438,1,66,the computer,,the computer
36477,1,66,the baby,,the baby
36493,1,66,the arm,,the arm
36494,1,66,the arm,,the arm
36496,1,66,the arm,,the arm
36524,1,66,the dolly,,the dolly
36540,1,66,a book,,a book
36547,1,66,a doggy,,a doggy
36548,1,66,the book,,the book
36549,1,66,the water,,the water
36552,1,66,the water,,the water
36558,1,66,a cup,,a cup
36560,1,66,a cup,,a cup
36561,1,66,a cup,,a cup
36563,1,66,the cup,,the cup
36578,1,66,the water,,the water
36579,1,66,a girl,,a girl
36591,1,66,the park,,the park
36611,1,66,the pancakes,,the pancakes
36676,1,66,the bus,,the bus
36694,1,66,the star,,the star
36696,1,66,the heart,,the heart
36720,1,66,the heart,,the heart
36731,1,66,the star,,the star
36752,1,66,the computer,,the computer
36780,1,66,the piece,,the piece
36841,1,66,a diaper,,a diaper
36878,1,66,a kiss,,a kiss
36888,1,66,a #,,a #
36890,1,66,the cookie,,the cookie
36894,1,66,a cold,,a cold
36902,1,66,the doctor,,the doctor
36904,1,66,the doctor,,the doctor
36906,1,66,the computer,,the computer
36916,1,66,a lot,,a lot
36917,1,66,the toys,,the toys
36924,1,66,the fish,,the fish
36930,1,66,the doctor,,the doctor
36931,1,66,the room,,the room
36946,1,66,the one,,the one
36954,1,66,the tambourine,,the tambourine
36955,1,66,the tambourine,,the tambourine
36964,1,66,a nap,,a nap
36969,1,66,the end,,the end
36978,1,66,a while,,a while
36982,1,66,the dwarfs,,the dwarfs
36995,1,66,a dwarf,,a dwarf
37006,1,66,the dolly,,the dolly
37041,1,66,the room,,the room
37046,1,66,the lady,,the lady
37055,1,66,the lady,,the lady
37059,1,66,the dolly,,the dolly
37063,1,66,the doll,,the doll
37077,1,66,a doll,,a doll
37092,1,66,the dolly,,the dolly
37130,1,66,the rest,,the rest
37142,1,66,a mess,,a mess
37183,1,66,the top,,the top
37185,1,66,the TV,,the TV
37202,1,66,the top,,the top
37240,1,66,a frog,,a frog
37248,1,66,the remote,,the remote
37323,1,66,the butt,,the butt
37344,1,66,a butt,,a butt
37375,1,66,the TV,,the TV
37407,1,66,the book,,the book
37408,1,66,the book,,the book
37414,1,66,the doggy,,the doggy
37427,1,66,the goof,,the goof
37437,1,66,the music,,the music
37442,1,66,the music,,the music
37470,1,66,a diaper,,a diaper
37488,1,66,a baby,,a baby
37502,1,66,the matter,,the matter
37513,1,66,the bathroom,,the bathroom
37534,1,66,the garbage,,the garbage
37573,1,66,the teddy,,the teddy
37575,1,66,the radio,,the radio
37643,1,66,the teddy,,the teddy
37651,1,66,the piano,,the piano
37699,1,66,a baby,,a baby
37702,1,66,a baby,,a baby
37749,1,66,the tummy,,the tummy
37750,1,66,the face,,the face
37766,1,66,a game,,a game
37768,1,66,a game,,a game
37769,1,66,the stairs,,the stairs
37789,1,66,the teddy,,the teddy
37799,1,66,a bit,,a bit
37865,1,68,the babies,,the babies
37866,1,68,the babies,,the babies
37867,1,68,the light,,the light
37868,1,68,the babies,,the babies
37885,1,68,the baby,,the baby
37886,1,68,the baby,,the baby
37892,1,68,the baby,,the baby
37894,1,68,the baby,,the baby
37895,1,68,the baby,,the baby
37902,1,68,the page,,the page
37917,1,68,the baby,,the baby
37937,1,68,the baby,,the baby
37942,1,68,the page,,the page
37950,1,68,the words,,the words
37951,1,68,the baby,,the baby
37956,1,68,the baby,,the baby
37957,1,68,the baby,,the baby
37976,1,68,a baby,,a baby
37994,1,68,the babies,,the babies
37995,1,68,the babies,,the babies
38004,1,68,the button,,the button
38005,1,68,the noise,,the noise
38012,1,68,the mommy,,the mommy
38049,1,68,the button,,the button
38050,1,68,the button,,the button
38056,1,68,the frog,,the frog
38083,1,68,the school,,the school
38093,1,68,a look,,a look
38097,1,68,the window,,the window
38107,1,68,a baby,,a baby
38108,1,68,a baby,,a baby
38129,1,68,a bear,,a bear
38148,1,68,the door,,the door
38184,1,68,a hug,,a hug
38209,1,68,the baby,,the baby
38210,1,68,a baby,,a baby
38211,1,68,the baby,,the baby
38212,1,68,the baby,,the baby
38213,1,68,a minute,,a minute
38214,1,68,a minute,,a minute
38216,1,68,the baby,,the baby
38219,1,68,a mother,,a mother
38221,1,68,the baby,,the baby
38223,1,68,the baby,,the baby
38228,1,68,the baby,,the baby
38229,1,68,a mother,,a mother
38230,1,68,the baby,,the baby
38231,1,68,the baby,,the baby
38232,1,68,the baby,,the baby
38236,1,68,the baby,,the baby
38243,1,68,a mother,,a mother
38246,1,68,the fish,,the fish
38250,1,68,the fish,,the fish
38251,1,68,the light,,the light
38258,1,68,the tank,,the tank
38269,1,68,the fish,,the fish
38274,1,68,the bubbles,,the bubbles
38279,1,68,the fish,,the fish
38284,1,68,the fish,,the fish
38306,1,68,the chair,,the chair
38332,1,68,the illusion,,the illusion
38334,1,68,a magician,,a magician
38353,1,68,the baby,,the baby
38355,1,68,the baby,,the baby
38358,1,68,the baby,,the baby
38361,1,68,the baby,,the baby
38371,1,68,the baby,,the baby
38373,1,68,the baby,,the baby
38375,1,68,the baby,,the baby
38377,1,68,the baby,,the baby
38381,1,68,the baby,,the baby
38382,1,68,the baby,,the baby
38391,1,68,the baby,,the baby
38393,1,68,a minute,,a minute
38427,1,68,a girl,,a girl
38463,1,72,a minute,,a minute
38466,1,72,a second,,a second
38476,1,72,a bit,,a bit
38487,1,72,the room,,the room
38496,1,72,the book,,the book
38497,1,72,the book,,the book
38505,1,72,the room,,the room
38522,1,72,the farm,,the farm
38541,1,72,the farm,,the farm
38544,1,72,the farmer,,the farmer
38548,1,72,the horse,,the horse
38549,1,72,the chicken,,the chicken
38550,1,72,the chicken,,the chicken
38554,1,72,the horse,,the horse
38561,1,72,the tractor,,the tractor
38562,1,72,the farmer,,the farmer
38571,1,72,the door,,the door
38599,1,72,the horse,,the horse
38600,1,72,the boy,,the boy
38601,1,72,the cow,,the cow
38602,1,72,a cow,,a cow
38603,1,72,the cow,,the cow
38606,1,72,a duck,,a duck
38608,1,72,a pig,,a pig
38609,1,72,a pig,,a pig
38611,1,72,the farmer,,the farmer
38629,1,72,the farmer,,the farmer
38630,1,72,the boy,,the boy
38634,1,72,a ride,,a ride
38675,1,72,the cookie,,the cookie
38684,1,72,the microphone,,the microphone
38690,1,72,the page,,the page
38691,1,72,the one,,the one
38699,1,72,the wheels,,the wheels
38700,1,72,the wheels,,the wheels
38703,1,72,a rubber,,a rubber
38718,1,72,the cookie,,the cookie
38764,1,72,a walk,,a walk
38765,1,72,a walk,,a walk
38801,1,72,a walk,,a walk
38802,1,72,a walk,,a walk
38803,1,72,a walk,,a walk
38835,1,72,the box,,the box
38836,1,72,the box,,the box
38892,1,72,the farm,,the farm
38893,1,72,the farm,,the farm
38929,1,72,a walk,,a walk
38967,1,72,a walk,,a walk
38974,1,72,a walk,,a walk
39049,1,72,the light,,the light
39051,1,72,the button,,the button
39094,1,72,a walk,,a walk
39227,1,72,a walk,,a walk
39234,1,72,a walk,,a walk
39235,1,72,a walk,,a walk
39236,1,72,a walk,,a walk
39504,1,72,the kitchen,,the kitchen
39521,1,72,the farmer,,the farmer
39522,1,72,the farmer,,the farmer
39557,1,72,a circle,,a circle
39565,1,72,the living,,the living
39572,1,72,the table,,the table
39607,1,72,a walk,,a walk
39644,1,72,the room,,the room
39645,1,72,the kitchen,,the kitchen
39646,1,72,the kitchen,,the kitchen
39647,1,72,a walk,,a walk
39674,1,72,a baby,,a baby
39675,1,72,a baby,,a baby
39705,1,72,the spoon,,the spoon
39753,1,72,the refrigerator,,the refrigerator
39765,1,72,the picture,,the picture
39770,1,72,a magnet,,a magnet
39780,1,72,a baby,,a baby
39789,1,72,a bit,,a bit
39790,1,72,a lunch,,a lunch
39796,1,72,a bit,,a bit
39797,1,72,a water,,a water
39809,1,72,the chair,,the chair
39812,1,72,a bit,,a bit
39823,1,72,the rest,,the rest
39842,1,72,the ball,,the ball
39862,1,72,the floor,,the floor
39867,1,72,a water,,a water
39900,1,72,the cup,,the cup
39901,1,72,the cup,,the cup
39903,1,72,the cup,,the cup
39911,1,72,the cup,,the cup
39920,1,72,the paper,,the paper
39934,1,72,a knife,,a knife
39939,1,72,a cough,,a cough
39958,1,72,a piece,,a piece
39970,1,72,a second,,a second
39974,1,72,a cough,,a cough
40035,1,72,the cup,,the cup
40089,1,72,a couple,,a couple
40121,1,72,a water,,a water
40154,1,72,a breath,,a breath
40171,1,72,a piece,,a piece
40184,1,72,a couple,,a couple
40235,1,72,the oranges,,the oranges
40275,1,73,the baby,,the baby
40277,1,73,the baby,,the baby
40278,1,73,the baby,,the baby
40279,1,73,a book,,a book
40281,1,73,a book,,a book
40288,1,73,a book,,a book
40292,1,73,a book,,a book
40297,1,73,the matter,,the matter
40324,1,73,a book,,a book
40343,1,73,the matter,,the matter
40442,1,73,a cookie,,a cookie
40447,1,73,a cookie,,a cookie
40462,1,73,a pedicure,,a pedicure
40523,1,73,a pencil,,a pencil
40524,1,73,a pencil,,a pencil
40529,1,73,the #,,the #
40531,1,73,a boombox,,a boombox
40534,1,73,the boombox,,the boombox
40542,1,73,the boombox,,the boombox
40547,1,73,the station,,the station
40559,1,73,the kitchen,,the kitchen
40565,1,73,the book,,the book
40567,1,73,the kitchen,,the kitchen
40584,1,73,the word,,the word
40597,1,73,the eye,,the eye
40612,1,73,a voice,,a voice
40624,1,73,a booger,,a booger
40641,1,73,the A,,the A
40643,1,73,a cruise,,a cruise
40645,1,73,the A,,the A
40677,1,73,a F.,,a F.
40703,1,73,the word,,the word
40707,1,73,the paper,,the paper
40716,1,73,the letters,,the letters
40745,1,73,the word,,the word
40872,1,73,the matter,,the matter
40876,1,73,the matter,,the matter
40878,1,73,the matter,,the matter
40879,1,73,a boogie,,a boogie
40881,1,73,the diaper,,the diaper
40885,1,73,a minutes,,a minutes
40887,1,73,the baby,,the baby
40936,1,73,the build,,the build
40937,1,73,the build,,the build
40938,1,73,the man,,the man
40942,1,73,a builder,,a builder
40953,1,73,the baby,,the baby
40956,1,73,the woman,,the woman
40957,1,73,the woman,,the woman
40964,1,73,the woman,,the woman
40984,1,73,a maniac,,a maniac
41003,1,73,a mouth,,a mouth
41054,1,74,a ball,,a ball
41062,1,74,the pen,,the pen
41063,1,74,the pen,,the pen
41081,1,74,the piano,,the piano
41082,1,74,the piano,,the piano
41083,1,74,the piano,,the piano
41087,1,74,the markers,,the markers
41118,1,74,the car,,the car
41123,1,74,the part,,the part
41148,1,74,a donkey,,a donkey
41150,1,74,a donkey,,a donkey
41152,1,74,a donkey,,a donkey
41216,1,74,the track,,the track
41222,1,74,a train,,a train
41224,1,74,a freight,,a freight
41227,1,74,the freight,,the freight
41230,1,74,the bell,,the bell
41233,1,74,the bell,,the bell
41244,1,74,the track,,the track
41246,1,74,a train,,a train
41248,1,74,a freight,,a freight
41249,1,74,the frieght,,the frieght
41252,1,74,the conductor,,the conductor
41253,1,74,the conductor,,the conductor
41259,1,74,the boy,,the boy
41263,1,74,a boy,,a boy
41264,1,74,a boy,,a boy
41268,1,74,the back,,the back
41271,1,74,the wall,,the wall
41272,1,74,the cupboard,,the cupboard
41276,1,74,a minute,,a minute
41285,1,74,a minute,,a minute
41320,1,74,a minute,,a minute
41328,1,74,a fuss,,a fuss
41331,1,74,the thing,,the thing
41340,1,74,a minute,,a minute
41355,1,74,a bit,,a bit
41364,1,74,a break,,a break
41367,1,74,the thing,,the thing
41388,1,74,a plan,,a plan
41389,1,74,the plan,,the plan
41393,1,74,the center,,the center
41397,1,74,the chair,,the chair
41408,1,74,the donkey,,the donkey
41411,1,74,the duck,,the duck
41412,1,74,the duck,,the duck
41417,1,74,a donkey,,a donkey
41424,1,74,the duck,,the duck
41425,1,74,the dog,,the dog
41426,1,74,the dog,,the dog
41429,1,74,the dog,,the dog
41430,1,74,the dog,,the dog
41431,1,74,the dog,,the dog
41432,1,74,the dog,,the dog
41433,1,74,the dog,,the dog
41445,1,74,the napkin,,the napkin
41453,1,74,the napkin,,the napkin
41461,1,74,the hallway,,the hallway
41469,1,74,a bow,,a bow
41472,1,74,a knot,,a knot
41491,1,74,the marker,,the marker
41493,1,74,the crumbs,,the crumbs
41494,1,74,the crumbs,,the crumbs
41503,1,74,the markers,,the markers
41601,1,75,the apple,,the apple
